amanecer ,1,20-08-2019,11:26:51,144.26486925501584,134.54519805002272,33.020740474968136,3.2395992900710477
amanecer ,1,31-07-2019,23:56:53,125.28913495822935,116.98351116786861,26.997314179799325,2.853190659979669
amanecer ,1,30-06-2019,23:53:44,88.80719204601334,83.62707562704878,28.72996027850431,3.166953603612605
amanecer ,1,30-05-2019,23:56:25,114.55121714350783,107.73935159491965,27.331297821100215,3.4183997958722507
amanecer ,1,30-04-2019,22:50:10,92.0327511022886,86.92568945758924,20.378873967634625,3.0646168717007223
centro ,1,20-08-2019,11:25:13,1081.522297662795,1037.2805928034763,22.118263628195063,2.1769390630826035
centro ,1,31-07-2019,23:55:15,266.4419656177908,260.7916421957105,33.83533015024509,3.4736712110850307
centro ,1,30-06-2019,23:59:44,36.24008424037292,33.39468281880863,34.446536174152264,4.156505141381972
centro ,1,30-05-2019,23:59:47,51.43859590334665,47.232957855329985,33.08180325188074,4.822219633006768
centro ,1,30-04-2019,22:52:33,42.455083869375024,39.367908694888634,18.600346807618774,3.113365811832941
el carmen ,1,20-08-2019,11:29:35,3733989.299092427,3730745.513174282,80.33859452338436,9.42834915530701
el carmen ,1,31-07-2019,23:59:10,3238152.902347054,3199621.9974669046,80.91411761119235,9.86889471099531
el carmen ,1,31-12-1999,21:00:49,7706984.0,7309694.0,39.1,16.7
labranza ,2,20-08-2019,11:30:11,3639981.2037554444,3619711.0135095576,85.59529286358118,8.051889746876027
labranza ,2,31-07-2019,23:53:11,3631909.2571008704,3781008.0244734916,85.38833414804701,8.934099230219012
pedro valdivia ,1,20-08-2019,11:26:30,83.11117446249602,76.85002120588639,24.143779904281725,1.9303665737568898
pedro valdivia ,1,31-07-2019,23:56:31,56.48393533856333,52.23592757296183,39.999117841202555,3.616910880664747
pedro valdivia ,1,30-06-2019,23:54:36,68.7850224036592,63.849576971517315,37.547665620233516,3.89643904111127
pedro valdivia ,1,30-05-2019,23:54:39,78.08331278442367,72.36285313767608,37.386492599802025,4.549098500111044
pedro valdivia ,1,30-04-2019,22:59:35,54.572710951526034,50.91202872531418,22.75960502692995,2.3477558348294445
poniente ,1,20-08-2019,11:33:07,44.46814868720232,42.81603410744747,93.76073149410972,8.062258524694336
poniente ,1,31-07-2019,23:57:48,35.232253766188826,33.73765579708318,92.60133391516926,8.934515365896187
poniente ,1,30-06-2019,23:51:50,38.7492323852618,37.27953296703297,85.79146975799935,8.419170197478987
poniente ,1,31-12-1999,21:00:43,27.529411764705884,26.176470588235293,80.77059117647057,9.31764705882353
pueblo nuevo ,1,20-08-2019,11:26:40,78.83524184821061,72.79710417903085,22.15761692726225,2.7097889387060166
pueblo nuevo ,1,31-07-2019,23:58:33,61.45704429074797,57.05671053637273,24.86838446877213,3.1300135617984406
pueblo nuevo ,1,30-06-2019,23:53:08,67.5734058724698,61.920393631490526,24.630642451396106,3.2292303384270737
pueblo nuevo ,1,30-05-2019,23:53:11,79.78186842001703,72.38670563357773,23.985305732039045,3.633925024836185
santa rosa ,1,20-08-2019,11:30:07,119.81703181641929,99.73912671848159,31.007570341197056,2.6169237981017086
santa rosa ,1,31-07-2019,23:50:09,104.19471618593171,88.21705157339996,31.28856536075337,2.8659107194485496
santa rosa ,1,30-06-2019,23:56:39,106.69032911521809,90.72842438506191,30.544131437922417,2.914685230373985
santa rosa ,1,30-05-2019,23:53:35,173.23483230229303,155.92544528979965,28.182385147564904,3.185561852803044
santa rosa ,1,30-04-2019,22:57:36,138.325,124.0,23.38541666666665,2.930416666666667
universidad ,1,20-08-2019,11:27:40,62.39803320645578,60.500721678660206,87.2604511747926,10.61922872141358
universidad ,1,31-07-2019,23:53:22,57.10743292432226,71.82132118638552,89.46135502429141,10.651387126524183
universidad ,1,30-06-2019,23:49:27,53.527079423526196,51.78646883421147,87.28696025827527,10.868012873044101
universidad ,1,30-05-2019,23:58:07,92.10763131975487,61.921269488786706,2.0747464705882352,0.2858012170385395
universidad ,1,30-04-2019,22:59:24,58.52585360084965,56.695330811859705,0.0,0.0
